login_hour,typing_wpm,quiz_score,time_per_question_sec,session_duration_min,sessions_per_day,attempts_per_quiz,avg_gap_mins,device_type,browser,age_group,gender,ses_tier
10,38.88119882,74.05378998,25.3558595,32.23231529,2.001125833,1.142866818,2.127221182,Android,Safari,16-18,female,high
19,65.26666192,72.48956032,29.18066442,35.72207086,2.855158028,1.382461991,2.958077215,Android,Firefox,19-22,male,high
19,40.67936461,77.91034001,26.8222013,51.19423612,2.320457481,1.122038235,1.737942275,Desktop,Firefox,19-22,male,mid
19,67.50636314,70.38534282,30.33328639,20.40329876,3.526854324,1.449754133,1.48787559,Shared/Other,Edge,19-22,female,low
16,41.18960333,75.96416479,32.09551053,22.30929169,1.827997546,1.296273506,0.913167348,Android,Chrome,13-15,male,mid
12,71.98547354,79.76042587,36.51830634,48.8774846,3.778902636,1.651077026,2.787399189,Android,Edge,19-22,male,low
15,61.79716345,79.57885077,21.57856311,23.71254442,2.148780624,1.971712095,2.622284561,Android,Safari,16-18,male,low
18,30.08099392,60.81249541,35.21245809,26.6644622,2.525712073,1.907566474,1.123230573,Android,Firefox,13-15,male,low
16,40.63985049,80.01448332,35.79093326,26.80461689,3.614381771,1.803672077,0.966425147,iOS,Firefox,13-15,female,high
18,47.41815201,87.7373362,28.54023665,33.22668931,3.58219175,1.006952131,1.776868256,Android,In-App,16-18,male,low
15,45.16877321,65.56943192,37.01979369,26.01120156,3.915346248,1.962447295,1.12945574,iOS,Firefox,16-18,male,low
13,50.6023021,74.19912665,28.79309934,47.24269479,2.903054034,1.680705452,1.827336458,iOS,Edge,16-18,male,low
8,33.90167197,80.86857094,40.95227813,32.00660782,1.27086931,1.835302496,1.301950162,iOS,In-App,13-15,male,mid
13,75.65013937,64.37696286,32.36796215,46.05483131,3.072813214,1.386735346,2.841824972,Android,Firefox,19-22,male,mid
19,46.43254974,57.89470421,30.59489246,33.89285259,3.988761099,1.965419351,1.895733634,Shared/Other,Firefox,16-18,female,low
12,35.8696944,81.17640846,36.08535398,25.52881824,1.252419895,1.161628714,2.746385471,Shared/Other,Firefox,13-15,female,low
9,40.14618203,85.49347392,36.62552831,22.34241714,1.672807928,1.712179221,1.093122719,Android,Edge,16-18,female,high
18,54.18118522,61.30128943,26.14109625,16.79430368,1.73196893,1.973010555,1.482744312,iOS,Firefox,16-18,female,mid
19,58.50120582,65.36984374,34.8859,32.76037966,1.072947899,1.645472296,0.942776699,Shared/Other,In-App,16-18,female,mid
